Ticker,Company,Sector,Year,Month,Month_Name,Monthly_Return,Avg_Close,Avg_Volume,Avg_Volatility
AAPL,Apple,Tech,2020,1,Jan,3.31,75.19,139731923.81,1.77
AAPL,Apple,Tech,2020,2,Feb,-11.61,75.17,158909431.58,1.99
AAPL,Apple,Tech,2020,3,Mar,-2.78,63.41,285457836.36,5.32
AAPL,Apple,Tech,2020,4,Apr,15.41,65.82,155490438.1,4.58
AAPL,Apple,Tech,2020,5,May,8.33,75.05,140296800.0,1.85
AAPL,Apple,Tech,2020,6,Jun,14.21,83.78,147426163.64,1.61
AAPL,Apple,Tech,2020,7,Jul,16.09,92.62,137285600.0,1.79
AAPL,Apple,Tech,2020,8,Aug,20.09,113.85,193812433.33,2.86
AAPL,Apple,Tech,2020,9,Sep,-9.58,111.77,185011671.43,3.23
AAPL,Apple,Tech,2020,10,Oct,-5.37,113.02,131575750.0,2.65
AAPL,Apple,Tech,2020,11,Nov,9.44,113.58,106153865.0,2.53
AAPL,Apple,Tech,2020,12,Dec,11.2,123.8,105554072.73,1.66
AAPL,Apple,Tech,2021,1,Jan,-0.02,129.38,117908526.32,2.1
AAPL,Apple,Tech,2021,2,Feb,-8.11,128.07,96518715.79,1.95
AAPL,Apple,Tech,2021,3,Mar,1.32,118.7,115235573.91,2.25
AAPL,Apple,Tech,2021,4,Apr,7.54,128.39,89993214.29,1.56
AAPL,Apple,Tech,2021,5,May,-4.94,123.65,85596745.0,1.51
AAPL,Apple,Tech,2021,6,Jun,9.57,126.79,73026818.18,1.18
AAPL,Apple,Tech,2021,7,Jul,6.5,141.61,91382623.81,1.17
AAPL,Apple,Tech,2021,8,Aug,4.3,144.75,66433763.64,1.15
AAPL,Apple,Tech,2021,9,Sep,-6.86,144.91,85611195.24,1.33
AAPL,Apple,Tech,2021,10,Oct,5.85,142.23,74527580.95,1.25
AAPL,Apple,Tech,2021,11,Nov,10.23,150.9,80525190.48,1.13
AAPL,Apple,Tech,2021,12,Dec,7.53,169.83,111125759.09,1.87
AAPL,Apple,Tech,2022,1,Jan,-1.13,166.22,105422300.0,1.67
AAPL,Apple,Tech,2022,2,Feb,-5.35,166.36,85658752.63,2.09
AAPL,Apple,Tech,2022,3,Mar,6.03,161.97,94817395.65,1.9
AAPL,Apple,Tech,2022,4,Apr,-9.76,163.45,84389780.0,1.77
AAPL,Apple,Tech,2022,5,May,-4.62,145.6,114335252.38,2.86
AAPL,Apple,Tech,2022,6,Jun,-7.88,137.17,83290466.67,2.72
AAPL,Apple,Tech,2022,7,Jul,17.58,146.86,72356270.0,1.93
AAPL,Apple,Tech,2022,8,Aug,-2.88,163.94,65662591.3,1.65
AAPL,Apple,Tech,2022,9,Sep,-12.32,150.34,99272514.29,1.94
AAPL,Apple,Tech,2022,10,Oct,11.12,142.49,88959033.33,2.39
AAPL,Apple,Tech,2022,11,Nov,-2.48,143.51,82135604.76,3.13
AAPL,Apple,Tech,2022,12,Dec,-12.67,135.7,79796723.81,2.22
AAPL,Apple,Tech,2023,1,Jan,10.76,133.64,72182625.0,1.95
AAPL,Apple,Tech,2023,2,Feb,2.54,148.73,68799942.11,1.55
AAPL,Apple,Tech,2023,3,Mar,11.45,152.75,66098547.83,1.49
AAPL,Apple,Tech,2023,4,Apr,3.0,162.69,51040863.16,1.2
AAPL,Apple,Tech,2023,5,May,4.67,170.3,57971122.73,1.38
AAPL,Apple,Tech,2023,6,Jun,9.13,181.9,61780157.14,0.92
AAPL,Apple,Tech,2023,7,Jul,1.33,189.93,49805700.0,0.93
AAPL,Apple,Tech,2023,8,Aug,-4.03,178.9,57506860.87,1.36
AAPL,Apple,Tech,2023,9,Sep,-9.07,174.95,66891150.0,1.57
AAPL,Apple,Tech,2023,10,Oct,-0.14,172.65,53309859.09,1.09
AAPL,Apple,Tech,2023,11,Nov,10.89,183.89,52364361.9,1.15
AAPL,Apple,Tech,2023,12,Dec,1.43,192.31,53159060.0,0.89
AAPL,Apple,Tech,2024,1,Jan,-4.08,185.79,56547180.95,1.28
AAPL,Apple,Tech,2024,2,Feb,-1.81,183.04,58077675.0,1.09
AAPL,Apple,Tech,2024,3,Mar,-5.02,171.14,71657590.0,1.18
AAPL,Apple,Tech,2024,4,Apr,-0.44,168.07,56642913.64,1.51
AAPL,Apple,Tech,2024,5,May,12.52,184.78,60750513.64,1.76
AAPL,Apple,Tech,2024,6,Jun,9.55,204.68,90418531.58,1.65
AAPL,Apple,Tech,2024,7,Jul,5.56,222.87,52413627.27,1.75
AAPL,Apple,Tech,2024,8,Aug,3.41,220.11,51030318.18,1.59
AAPL,Apple,Tech,2024,9,Sep,1.94,222.3,61604885.0,1.2
AAPL,Apple,Tech,2024,10,Oct,-2.9,228.55,40466782.61,1.43
AAPL,Apple,Tech,2024,11,Nov,5.13,226.51,44579415.0,1.1
AAPL,Apple,Tech,2024,12,Dec,5.48,247.97,46567433.33,0.84
AAPL,Apple,Tech,2025,1,Jan,-5.57,233.31,60008820.0,1.5
AAPL,Apple,Tech,2025,2,Feb,2.8,237.41,45382752.63,1.87
AAPL,Apple,Tech,2025,3,Mar,-8.11,221.74,53106642.86,1.75
AAPL,Apple,Tech,2025,4,Apr,-2.02,200.31,76538980.95,4.37
AAPL,Apple,Tech,2025,5,May,-5.06,203.24,56939438.1,2.76
AAPL,Apple,Tech,2025,6,Jun,2.25,200.05,55020465.0,1.45
AAPL,Apple,Tech,2025,7,Jul,1.25,210.64,49087981.82,1.06
AAPL,Apple,Tech,2025,8,Aug,11.66,224.15,58003766.67,1.69
AAPL,Apple,Tech,2025,9,Sep,9.59,242.02,60263638.1,1.61
AAPL,Apple,Tech,2025,10,Oct,6.23,257.8,47701834.78,1.55
AAPL,Apple,Tech,2025,11,Nov,3.27,271.33,46188326.32,1.17
AAPL,Apple,Tech,2025,12,Dec,-2.48,276.05,42024036.36,0.92
AAPL,Apple,Tech,2026,1,Jan,-4.5,257.41,52000865.0,0.88
AAPL,Apple,Tech,2026,2,Feb,2.33,269.11,52048473.68,1.85
AAPL,Apple,Tech,2026,3,Mar,-2.57,261.75,42190500.0,1.93
AMZN,Amazon,Tech,2020,1,Jan,6.02,94.21,80665047.62,1.92
AMZN,Amazon,Tech,2020,2,Feb,-6.07,103.31,97379052.63,2.05
AMZN,Amazon,Tech,2020,3,Mar,5.23,93.62,148917363.64,3.46
AMZN,Amazon,Tech,2020,4,Apr,24.62,111.44,118676000.0,3.12
AMZN,Amazon,Tech,2020,5,May,-0.85,119.71,82584400.0,2.67
AMZN,Amazon,Tech,2020,6,Jun,12.47,130.68,79834818.18,1.34
AMZN,Amazon,Tech,2020,7,Jul,14.67,152.69,115910909.09,2.53
AMZN,Amazon,Tech,2020,8,Aug,8.95,162.46,79539619.05,2.2
AMZN,Amazon,Tech,2020,9,Sep,-8.39,158.04,110380285.71,2.38
AMZN,Amazon,Tech,2020,10,Oct,-2.94,161.53,105660090.91,2.55
AMZN,Amazon,Tech,2020,11,Nov,4.78,157.09,90810500.0,2.74
AMZN,Amazon,Tech,2020,12,Dec,2.94,159.89,70505636.36,1.34
AMZN,Amazon,Tech,2021,1,Jan,-1.3,160.0,75293578.95,1.58
AMZN,Amazon,Tech,2021,2,Feb,-3.34,163.19,75902105.26,1.73
AMZN,Amazon,Tech,2021,3,Mar,0.35,153.41,67989565.22,1.7
AMZN,Amazon,Tech,2021,4,Apr,11.57,167.61,73180571.43,1.37
AMZN,Amazon,Tech,2021,5,May,-7.1,162.31,75183900.0,1.44
