Date,Ticker,Company,Sector,Open,High,Low,Close,Volume,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Cumulative_Return,Daily_Range_Pct,Signal,Year,Month,Quarter,Month_Name
2020-01-02,AAPL,Apple,Tech,71.40977019424241,72.46076851156026,71.15666666509587,72.40050506591797,135480400,,,,,,0.0,1.8012330787983521,SELL,2020,1,1,Jan
2020-01-03,AAPL,Apple,Tech,71.62914523544616,72.45595811976894,71.47246171476719,71.69664001464844,146322800,-0.9721825153411356,,,,,-0.9721825153411356,1.371746855641778,SELL,2020,1,1,Jan
2020-01-06,AAPL,Apple,Tech,70.81920816221287,72.3065062028637,70.56851011431775,72.26793670654297,118387200,0.7968249164505004,,,,,-0.1831041914062581,2.4049338721311537,SELL,2020,1,1,Jan
2020-01-07,AAPL,Apple,Tech,72.27757077764687,72.53308721808551,71.70868733859578,71.92804718017578,108872000,-0.4703185698346046,,,,,-0.6525615882265301,1.1461452268051378,SELL,2020,1,1,Jan
2020-01-08,AAPL,Apple,Tech,71.63155918060959,73.38643082203993,71.63155918060959,73.08511352539062,132079200,1.6086441806441032,,,,,0.9455851984034425,2.401134180109987,SELL,2020,1,1,Jan
2020-01-09,AAPL,Apple,Tech,74.06136720541696,74.83032941641996,73.81067654984861,74.63748931884766,170108400,2.1240656524638357,,,,,3.089735701281371,1.3661403617362344,SELL,2020,1,1,Jan
2020-01-10,AAPL,Apple,Tech,74.87131787710281,75.37030104945943,74.30483992947904,74.80622863769531,140644800,0.22607850342715174,,,,,3.3227994329418253,1.4242946601955704,SELL,2020,1,1,Jan
2020-01-13,AAPL,Apple,Tech,75.12200317385458,76.43092342751396,75.00388181987825,76.40440368652344,121532000,2.136419757996988,,,,,5.530208134542791,1.8677478506221539,SELL,2020,1,1,Jan
2020-01-14,AAPL,Apple,Tech,76.34175230410106,76.5514679630278,75.24977872842311,75.37271118164062,161954400,-1.3503050283799167,,,,,4.1052284276422935,1.7270033334315846,SELL,2020,1,1,Jan
2020-01-15,AAPL,Apple,Tech,75.17262239843001,76.05246721987251,74.61819429330173,75.0496826171875,121923600,-0.42857495688944924,,,,,3.659059489788863,1.9110979241400743,SELL,2020,1,1,Jan
2020-01-16,AAPL,Apple,Tech,75.5920621906251,76.10068954693726,75.23048148138665,75.98979949951172,108829200,1.2526593711522427,,,,,4.9575544125359805,1.1451643132131244,SELL,2020,1,1,Jan
2020-01-17,AAPL,Apple,Tech,76.23807238178088,76.83347548162705,75.93193674542053,76.83106994628906,137816400,1.1070833879259778,,,,,6.119522061810523,1.1734038545041279,SELL,2020,1,1,Jan
